LexToken(ALPHABET,'Alphabet',1,0)
LexToken(NUM,'ª',1,9)
LexToken(NUM,'U',1,18)
LexToken(TERMINALVERTEXES,'Terminalvertexes',2,27)
LexToken(NUM,'ªª',2,44)
LexToken(STATES,'States',3,61)
LexToken(NUM,'U',3,68)
LexToken(NUM,'ª',3,77)
LexToken(NUM,'ªª',3,86)
LexToken(STARTVERTEX,'Startvertex',4,103)
LexToken(NUM,'ª',4,115)
LexToken(EDGE,'Edge',5,124)
LexToken(NUM,'ª',5,129)
LexToken(NUM,'ªª',5,138)
LexToken(NUM,'ªª',5,155)
LexToken(EDGE,'Edge',6,172)
LexToken(NUM,'ª',6,177)
LexToken(NUM,'U',6,186)
LexToken(NUM,'ªU',6,195)
