LexToken(AMOUNT_VERTEX,'2',1,0)
LexToken(CLOSE_BRACKET_FIGURE,'}',1,2)
LexToken(OKTOTORB,'#',2,4)
LexToken(LETTER,'hello \\\\nWHF_my_name\\#_dudelka',2,5)
LexToken(OKTOTORB,'#',2,35)
LexToken(OKTOTORB,'#',2,37)
LexToken(LETTER,'dudushka',2,38)
LexToken(OKTOTORB,'#',2,46)
LexToken(OKTOTORB,'#',2,48)
LexToken(LETTER,'podushka',2,49)
LexToken(OKTOTORB,'#',2,57)
LexToken(VERTEX_NAME,'q0',3,59)
LexToken(CLOSE_BRACKET_SQUARE,']',3,62)
LexToken(ARROW,'->',3,64)
LexToken(VERTEX_CONDITION,'0',3,67)
LexToken(VERTEX_NAME,'q1',4,69)
LexToken(CLOSE_BRACKET_SQUARE,']',4,72)
LexToken(ARROW,'->',4,74)
LexToken(VERTEX_CONDITION,'3',4,77)
LexToken(FROM_EDGE,'q0',5,79)
LexToken(COMMA,',',5,81)
LexToken(TO_EDGE,'q1',5,82)
LexToken(COLON,':',5,85)
LexToken(OKTOTORB,'#',5,87)
LexToken(LETTER,'hello \\\\nWHF_my_name\\#_dudelka',5,88)
LexToken(OKTOTORB,'#',5,118)
LexToken(OKTOTORB,'#',5,120)
LexToken(LETTER,'dudushka',5,121)
LexToken(OKTOTORB,'#',5,129)
LexToken(OKTOTORB,'#',5,131)
LexToken(LETTER,'podushka',5,132)
LexToken(OKTOTORB,'#',5,140)
