LexToken(START,'Start',1,0)
LexToken(ARROW,'->',1,6)
LexToken(NUM,0,1,9)
LexToken(TERM,'Term',2,12)
LexToken(COLON,':',2,17)
LexToken(OPEN_BRACKET,'(',2,19)
LexToken(NUM,1,2,20)
LexToken(COMMA,',',2,21)
LexToken(NUM,5,2,23)
LexToken(CLOSE_BRACKET,')',2,24)
LexToken(STATES,'States',3,26)
LexToken(COLON,':',3,33)
LexToken(OPEN_BRACKET,'(',3,35)
LexToken(NUM,0,3,36)
LexToken(COMMA,',',3,37)
LexToken(NUM,1,3,39)
LexToken(COMMA,',',3,40)
LexToken(NUM,2,3,42)
LexToken(COMMA,',',3,43)
LexToken(NUM,3,3,45)
LexToken(COMMA,',',3,46)
LexToken(NUM,4,3,48)
LexToken(COMMA,',',3,49)
LexToken(NUM,5,3,51)
LexToken(COMMA,',',3,52)
LexToken(NUM,6,3,54)
LexToken(CLOSE_BRACKET,')',3,55)
LexToken(ALPHABET,'Alphabet',4,57)
LexToken(COLON,':',4,66)
LexToken(OPEN_BRACKET,'(',4,68)
LexToken(WORD,'a',4,69)
LexToken(COMMA,',',4,72)
LexToken(WORD,'b',4,74)
LexToken(COMMA,',',4,77)
LexToken(WORD,'c',4,79)
LexToken(CLOSE_BRACKET,')',4,82)
LexToken(LIST,'List',5,84)
LexToken(COLON,':',5,88)
LexToken(VERTEX_FROM,'0',5,90)
LexToken(OPEN_BRACKET,'(',5,93)
LexToken(VERTEX_TO,'1',5,94)
LexToken(WORD,'a',5,97)
LexToken(CLOSE_BRACKET,')',5,100)
LexToken(VERTICAL_LINE,'|',5,102)
LexToken(OPEN_BRACKET,'(',5,104)
LexToken(VERTEX_TO,'1',5,105)
LexToken(WORD,'b',5,108)
LexToken(CLOSE_BRACKET,')',5,111)
LexToken(VERTICAL_LINE,'|',5,113)
LexToken(OPEN_BRACKET,'(',5,115)
LexToken(VERTEX_TO,'2',5,116)
LexToken(WORD,'c',5,119)
LexToken(CLOSE_BRACKET,')',5,122)
LexToken(VERTEX_FROM,'1',6,131)
LexToken(OPEN_BRACKET,'(',6,134)
LexToken(VERTEX_TO,'1',6,135)
LexToken(WORD,'b',6,138)
LexToken(CLOSE_BRACKET,')',6,141)
LexToken(VERTICAL_LINE,'|',6,143)
LexToken(OPEN_BRACKET,'(',6,145)
LexToken(VERTEX_TO,'1',6,146)
LexToken(WORD,'a',6,149)
LexToken(CLOSE_BRACKET,')',6,152)
LexToken(VERTICAL_LINE,'|',6,155)
LexToken(OPEN_BRACKET,'(',6,157)
LexToken(VERTEX_TO,'6',6,158)
LexToken(WORD,'c',6,161)
LexToken(CLOSE_BRACKET,')',6,164)
LexToken(VERTEX_FROM,'2',7,173)
LexToken(OPEN_BRACKET,'(',7,176)
LexToken(VERTEX_TO,'3',7,177)
LexToken(WORD,'a',7,180)
LexToken(CLOSE_BRACKET,')',7,183)
LexToken(VERTICAL_LINE,'|',7,185)
LexToken(OPEN_BRACKET,'(',7,187)
LexToken(VERTEX_TO,'4',7,188)
LexToken(WORD,'b',7,191)
LexToken(CLOSE_BRACKET,')',7,194)
LexToken(VERTICAL_LINE,'|',7,196)
LexToken(OPEN_BRACKET,'(',7,198)
LexToken(VERTEX_TO,'1',7,199)
LexToken(WORD,'c',7,202)
LexToken(CLOSE_BRACKET,')',7,205)
LexToken(VERTEX_FROM,'3',8,214)
LexToken(OPEN_BRACKET,'(',8,217)
LexToken(VERTEX_TO,'5',8,218)
LexToken(WORD,'b',8,221)
LexToken(CLOSE_BRACKET,')',8,224)
LexToken(VERTICAL_LINE,'|',8,226)
LexToken(OPEN_BRACKET,'(',8,228)
LexToken(VERTEX_TO,'5',8,229)
LexToken(WORD,'a',8,232)
LexToken(CLOSE_BRACKET,')',8,235)
LexToken(VERTICAL_LINE,'|',8,238)
LexToken(OPEN_BRACKET,'(',8,240)
LexToken(VERTEX_TO,'2',8,241)
LexToken(WORD,'c',8,244)
LexToken(CLOSE_BRACKET,')',8,247)
LexToken(VERTEX_FROM,'4',9,256)
LexToken(OPEN_BRACKET,'(',9,259)
LexToken(VERTEX_TO,'1',9,260)
LexToken(WORD,'a',9,263)
LexToken(CLOSE_BRACKET,')',9,266)
LexToken(VERTICAL_LINE,'|',9,268)
LexToken(OPEN_BRACKET,'(',9,270)
LexToken(VERTEX_TO,'5',9,271)
LexToken(WORD,'b',9,274)
LexToken(CLOSE_BRACKET,')',9,277)
LexToken(VERTICAL_LINE,'|',9,279)
LexToken(OPEN_BRACKET,'(',9,281)
LexToken(VERTEX_TO,'6',9,282)
LexToken(WORD,'c',9,285)
LexToken(CLOSE_BRACKET,')',9,288)
LexToken(VERTEX_FROM,'5',10,297)
LexToken(OPEN_BRACKET,'(',10,300)
LexToken(VERTEX_TO,'5',10,301)
LexToken(WORD,'b',10,304)
LexToken(CLOSE_BRACKET,')',10,307)
LexToken(VERTICAL_LINE,'|',10,309)
LexToken(OPEN_BRACKET,'(',10,311)
LexToken(VERTEX_TO,'4',10,312)
LexToken(WORD,'a',10,315)
LexToken(CLOSE_BRACKET,')',10,318)
LexToken(VERTICAL_LINE,'|',10,321)
LexToken(OPEN_BRACKET,'(',10,323)
LexToken(VERTEX_TO,'5',10,324)
LexToken(WORD,'c',10,327)
LexToken(CLOSE_BRACKET,')',10,330)
LexToken(VERTEX_FROM,'6',11,339)
LexToken(OPEN_BRACKET,'(',11,342)
LexToken(VERTEX_TO,'1',11,343)
LexToken(WORD,'b',11,346)
LexToken(CLOSE_BRACKET,')',11,349)
LexToken(VERTICAL_LINE,'|',11,351)
LexToken(OPEN_BRACKET,'(',11,353)
LexToken(VERTEX_TO,'5',11,354)
LexToken(WORD,'a',11,357)
LexToken(CLOSE_BRACKET,')',11,360)
LexToken(VERTICAL_LINE,'|',11,363)
LexToken(OPEN_BRACKET,'(',11,365)
LexToken(VERTEX_TO,'6',11,366)
LexToken(WORD,'c',11,369)
LexToken(CLOSE_BRACKET,')',11,372)
