LexToken(START,'Start',1,0)
LexToken(ARROW,'->',1,6)
LexToken(NUM,0,1,9)
LexToken(TERM,'Term',2,12)
LexToken(COLON,':',2,17)
LexToken(OPEN_BRACKET,'(',2,19)
LexToken(NUM,1,2,20)
LexToken(COMMA,',',2,21)
LexToken(NUM,5,2,23)
LexToken(CLOSE_BRACKET,')',2,24)
LexToken(STATES,'States',3,26)
LexToken(COLON,':',3,33)
LexToken(OPEN_BRACKET,'(',3,35)
LexToken(NUM,0,3,36)
LexToken(COMMA,',',3,37)
LexToken(NUM,1,3,39)
LexToken(COMMA,',',3,40)
LexToken(NUM,2,3,42)
LexToken(COMMA,',',3,43)
LexToken(NUM,3,3,45)
LexToken(COMMA,',',3,46)
LexToken(NUM,4,3,48)
LexToken(COMMA,',',3,49)
LexToken(NUM,5,3,51)
LexToken(COMMA,',',3,52)
LexToken(NUM,6,3,54)
LexToken(CLOSE_BRACKET,')',3,55)
LexToken(ALPHABET,'Alphabet',4,57)
LexToken(COLON,':',4,66)
LexToken(OPEN_BRACKET,'(',4,68)
LexToken(WORD,'a',4,69)
LexToken(COMMA,',',4,72)
LexToken(WORD,'b',4,74)
LexToken(COMMA,',',4,77)
LexToken(WORD,'c',4,79)
LexToken(CLOSE_BRACKET,')',4,82)
LexToken(LIST,'List',5,84)
LexToken(COLON,':',5,88)
LexToken(VERTEX_FROM,'0',5,90)
LexToken(OPEN_BRACKET,'(',5,93)
LexToken(VERTEX_TO,'1',5,94)
LexToken(WORD,'a',5,97)
LexToken(CLOSE_BRACKET,')',5,100)
LexToken(VERTICAL_LINE,'|',5,102)
LexToken(OPEN_BRACKET,'(',5,104)
LexToken(VERTEX_TO,'1',5,105)
LexToken(WORD,'b',5,108)
LexToken(CLOSE_BRACKET,')',5,111)
LexToken(VERTEX_FROM,'1',6,121)
LexToken(OPEN_BRACKET,'(',6,124)
LexToken(VERTEX_TO,'1',6,125)
LexToken(WORD,'b',6,128)
LexToken(CLOSE_BRACKET,')',6,131)
LexToken(VERTICAL_LINE,'|',6,133)
LexToken(OPEN_BRACKET,'(',6,135)
LexToken(VERTEX_TO,'1',6,136)
LexToken(WORD,'a',6,139)
LexToken(CLOSE_BRACKET,')',6,142)
LexToken(VERTICAL_LINE,'|',6,145)
LexToken(OPEN_BRACKET,'(',6,147)
LexToken(VERTEX_TO,'6',6,148)
LexToken(WORD,'c',6,151)
LexToken(CLOSE_BRACKET,')',6,154)
LexToken(VERTEX_FROM,'2',7,163)
LexToken(OPEN_BRACKET,'(',7,166)
LexToken(VERTEX_TO,'3',7,167)
LexToken(WORD,'a',7,170)
LexToken(CLOSE_BRACKET,')',7,173)
LexToken(VERTICAL_LINE,'|',7,175)
LexToken(OPEN_BRACKET,'(',7,177)
LexToken(VERTEX_TO,'4',7,178)
LexToken(WORD,'b',7,181)
LexToken(CLOSE_BRACKET,')',7,184)
LexToken(VERTICAL_LINE,'|',7,186)
LexToken(OPEN_BRACKET,'(',7,188)
LexToken(VERTEX_TO,'1',7,189)
LexToken(WORD,'c',7,192)
LexToken(CLOSE_BRACKET,')',7,195)
LexToken(VERTEX_FROM,'3',8,204)
LexToken(OPEN_BRACKET,'(',8,207)
LexToken(VERTEX_TO,'5',8,208)
LexToken(WORD,'b',8,211)
LexToken(CLOSE_BRACKET,')',8,214)
LexToken(VERTICAL_LINE,'|',8,216)
LexToken(OPEN_BRACKET,'(',8,218)
LexToken(VERTEX_TO,'5',8,219)
LexToken(WORD,'a',8,222)
LexToken(CLOSE_BRACKET,')',8,225)
LexToken(VERTICAL_LINE,'|',8,228)
LexToken(OPEN_BRACKET,'(',8,230)
LexToken(VERTEX_TO,'2',8,231)
LexToken(WORD,'c',8,234)
LexToken(CLOSE_BRACKET,')',8,237)
LexToken(VERTEX_FROM,'4',9,246)
LexToken(OPEN_BRACKET,'(',9,249)
LexToken(VERTEX_TO,'1',9,250)
LexToken(WORD,'a',9,253)
LexToken(CLOSE_BRACKET,')',9,256)
LexToken(VERTICAL_LINE,'|',9,258)
LexToken(OPEN_BRACKET,'(',9,260)
LexToken(VERTEX_TO,'5',9,261)
LexToken(WORD,'b',9,264)
LexToken(CLOSE_BRACKET,')',9,267)
LexToken(VERTICAL_LINE,'|',9,269)
LexToken(OPEN_BRACKET,'(',9,271)
LexToken(VERTEX_TO,'6',9,272)
LexToken(WORD,'c',9,275)
LexToken(CLOSE_BRACKET,')',9,278)
LexToken(VERTEX_FROM,'5',10,287)
LexToken(OPEN_BRACKET,'(',10,290)
LexToken(VERTEX_TO,'5',10,291)
LexToken(WORD,'b',10,294)
LexToken(CLOSE_BRACKET,')',10,297)
LexToken(VERTICAL_LINE,'|',10,299)
LexToken(OPEN_BRACKET,'(',10,301)
LexToken(VERTEX_TO,'4',10,302)
LexToken(WORD,'a',10,305)
LexToken(CLOSE_BRACKET,')',10,308)
LexToken(VERTICAL_LINE,'|',10,311)
LexToken(OPEN_BRACKET,'(',10,313)
LexToken(VERTEX_TO,'5',10,314)
LexToken(WORD,'c',10,317)
LexToken(CLOSE_BRACKET,')',10,320)
LexToken(VERTEX_FROM,'6',11,329)
LexToken(OPEN_BRACKET,'(',11,332)
LexToken(VERTEX_TO,'1',11,333)
LexToken(WORD,'b',11,336)
LexToken(CLOSE_BRACKET,')',11,339)
LexToken(VERTICAL_LINE,'|',11,341)
LexToken(OPEN_BRACKET,'(',11,343)
LexToken(VERTEX_TO,'5',11,344)
LexToken(WORD,'a',11,347)
LexToken(CLOSE_BRACKET,')',11,350)
LexToken(VERTICAL_LINE,'|',11,353)
LexToken(OPEN_BRACKET,'(',11,355)
LexToken(VERTEX_TO,'6',11,356)
LexToken(WORD,'c',11,359)
LexToken(CLOSE_BRACKET,')',11,362)
