LexToken(START,'Start',1,0)
LexToken(ARROW,'->',1,6)
LexToken(NUM,0,1,9)
LexToken(TERM,'Term',2,12)
LexToken(COLON,':',2,17)
LexToken(OPEN_BRACKET,'(',2,19)
LexToken(NUM,1,2,20)
LexToken(COMMA,',',2,21)
LexToken(NUM,5,2,23)
LexToken(CLOSE_BRACKET,')',2,24)
LexToken(STATES,'States',3,26)
LexToken(COLON,':',3,33)
LexToken(OPEN_BRACKET,'(',3,35)
LexToken(NUM,0,3,36)
LexToken(COMMA,',',3,37)
LexToken(NUM,1,3,39)
LexToken(COMMA,',',3,40)
LexToken(NUM,2,3,42)
LexToken(COMMA,',',3,43)
LexToken(NUM,3,3,45)
LexToken(COMMA,',',3,46)
LexToken(NUM,4,3,48)
LexToken(COMMA,',',3,49)
LexToken(NUM,5,3,51)
LexToken(COMMA,',',3,52)
LexToken(NUM,6,3,54)
LexToken(CLOSE_BRACKET,')',3,55)
LexToken(ALPHABET,'Alphabet',4,57)
LexToken(COLON,':',4,66)
LexToken(OPEN_BRACKET,'(',4,68)
LexToken(WORD,'a',4,69)
LexToken(COMMA,',',4,72)
LexToken(WORD,'b',4,74)
LexToken(COMMA,',',4,77)
LexToken(WORD,'c',4,79)
LexToken(COMMA,',',4,82)
LexToken(WORD,'a',4,84)
LexToken(CLOSE_BRACKET,')',4,87)
LexToken(LIST,'List',5,89)
LexToken(COLON,':',5,93)
LexToken(VERTEX_FROM,'0',5,95)
LexToken(OPEN_BRACKET,'(',5,98)
LexToken(VERTEX_TO,'1',5,99)
LexToken(WORD,'a',5,102)
LexToken(CLOSE_BRACKET,')',5,105)
LexToken(VERTICAL_LINE,'|',5,107)
LexToken(OPEN_BRACKET,'(',5,109)
LexToken(VERTEX_TO,'1',5,110)
LexToken(WORD,'b',5,113)
LexToken(CLOSE_BRACKET,')',5,116)
LexToken(VERTEX_FROM,'1',6,126)
LexToken(OPEN_BRACKET,'(',6,129)
LexToken(VERTEX_TO,'1',6,130)
LexToken(WORD,'b',6,133)
LexToken(CLOSE_BRACKET,')',6,136)
LexToken(VERTICAL_LINE,'|',6,138)
LexToken(OPEN_BRACKET,'(',6,140)
LexToken(VERTEX_TO,'1',6,141)
LexToken(WORD,'a',6,144)
LexToken(CLOSE_BRACKET,')',6,147)
LexToken(VERTICAL_LINE,'|',6,150)
LexToken(OPEN_BRACKET,'(',6,152)
LexToken(VERTEX_TO,'6',6,153)
LexToken(WORD,'c',6,156)
LexToken(CLOSE_BRACKET,')',6,159)
LexToken(VERTEX_FROM,'2',7,168)
LexToken(OPEN_BRACKET,'(',7,171)
LexToken(VERTEX_TO,'3',7,172)
LexToken(WORD,'a',7,175)
LexToken(CLOSE_BRACKET,')',7,178)
LexToken(VERTICAL_LINE,'|',7,180)
LexToken(OPEN_BRACKET,'(',7,182)
LexToken(VERTEX_TO,'4',7,183)
LexToken(WORD,'b',7,186)
LexToken(CLOSE_BRACKET,')',7,189)
LexToken(VERTICAL_LINE,'|',7,191)
LexToken(OPEN_BRACKET,'(',7,193)
LexToken(VERTEX_TO,'1',7,194)
LexToken(WORD,'c',7,197)
LexToken(CLOSE_BRACKET,')',7,200)
LexToken(VERTEX_FROM,'3',8,209)
LexToken(OPEN_BRACKET,'(',8,212)
LexToken(VERTEX_TO,'5',8,213)
LexToken(WORD,'b',8,216)
LexToken(CLOSE_BRACKET,')',8,219)
LexToken(VERTICAL_LINE,'|',8,221)
LexToken(OPEN_BRACKET,'(',8,223)
LexToken(VERTEX_TO,'5',8,224)
LexToken(WORD,'a',8,227)
LexToken(CLOSE_BRACKET,')',8,230)
LexToken(VERTICAL_LINE,'|',8,233)
LexToken(OPEN_BRACKET,'(',8,235)
LexToken(VERTEX_TO,'2',8,236)
LexToken(WORD,'c',8,239)
LexToken(CLOSE_BRACKET,')',8,242)
LexToken(VERTEX_FROM,'4',9,251)
LexToken(OPEN_BRACKET,'(',9,254)
LexToken(VERTEX_TO,'1',9,255)
LexToken(WORD,'a',9,258)
LexToken(CLOSE_BRACKET,')',9,261)
LexToken(VERTICAL_LINE,'|',9,263)
LexToken(OPEN_BRACKET,'(',9,265)
LexToken(VERTEX_TO,'5',9,266)
LexToken(WORD,'b',9,269)
LexToken(CLOSE_BRACKET,')',9,272)
LexToken(VERTICAL_LINE,'|',9,274)
LexToken(OPEN_BRACKET,'(',9,276)
LexToken(VERTEX_TO,'6',9,277)
LexToken(WORD,'c',9,280)
LexToken(CLOSE_BRACKET,')',9,283)
LexToken(VERTEX_FROM,'5',10,292)
LexToken(OPEN_BRACKET,'(',10,295)
LexToken(VERTEX_TO,'5',10,296)
LexToken(WORD,'b',10,299)
LexToken(CLOSE_BRACKET,')',10,302)
LexToken(VERTICAL_LINE,'|',10,304)
LexToken(OPEN_BRACKET,'(',10,306)
LexToken(VERTEX_TO,'4',10,307)
LexToken(WORD,'a',10,310)
LexToken(CLOSE_BRACKET,')',10,313)
LexToken(VERTICAL_LINE,'|',10,316)
LexToken(OPEN_BRACKET,'(',10,318)
LexToken(VERTEX_TO,'5',10,319)
LexToken(WORD,'c',10,322)
LexToken(CLOSE_BRACKET,')',10,325)
LexToken(VERTEX_FROM,'6',11,334)
LexToken(OPEN_BRACKET,'(',11,337)
LexToken(VERTEX_TO,'1',11,338)
LexToken(WORD,'b',11,341)
LexToken(CLOSE_BRACKET,')',11,344)
LexToken(VERTICAL_LINE,'|',11,346)
LexToken(OPEN_BRACKET,'(',11,348)
LexToken(VERTEX_TO,'5',11,349)
LexToken(WORD,'a',11,352)
LexToken(CLOSE_BRACKET,')',11,355)
LexToken(VERTICAL_LINE,'|',11,358)
LexToken(OPEN_BRACKET,'(',11,360)
LexToken(VERTEX_TO,'6',11,361)
LexToken(WORD,'c',11,364)
LexToken(CLOSE_BRACKET,')',11,367)
