LexToken(ALPHABET,'Alphabet',1,0)
LexToken(COLON,':',1,8)
LexToken(NUM,2,1,10)
LexToken(DASH,'--',1,12)
LexToken(OPARENTHESES,'(',1,15)
LexToken(ID,'a',1,16)
LexToken(APOSTROPHE,',',1,17)
LexToken(ID,'b',1,19)
LexToken(CPARENTHESES,')',1,20)
LexToken(Q,'Q',2,22)
LexToken(COLON,':',2,23)
LexToken(NUM,2,2,25)
LexToken(START,'start',3,27)
LexToken(COLON,':',3,32)
LexToken(NUM,0,3,34)
LexToken(T,'T',4,36)
LexToken(COLON,':',4,37)
LexToken(NUM,1,4,39)
LexToken(DASH,'--',4,41)
LexToken(NUM,1,4,44)
LexToken(EDGES,'edges',5,46)
LexToken(COLON,':',5,51)
LexToken(OPARENTHESES,'(',5,53)
LexToken(NUM,0,5,54)
LexToken(SEMICOLON,';',5,55)
LexToken(NUM,1,5,57)
LexToken(SEMICOLON,';',5,58)
LexToken(ID,'a',5,60)
LexToken(APOSTROPHE,',',5,61)
LexToken(ID,'b',5,63)
LexToken(CPARENTHESES,')',5,64)
